video_id,title,url,source_query,clips_count
Cc07Vq6h7Ng,The New York Knicks are TOO DOMINANT 🔥 2026 Highlights,https://www.youtube.com/watch?v=Cc07Vq6h7Ng,initial,27
pWWQyDQd_GE,The New York Knicks Are On FIRE! 🔥 | BEST Plays,https://www.youtube.com/watch?v=pWWQyDQd_GE,initial,15
XTWy-gAI99s,New York Knicks to the NBA FINALS 🔥 2026 Playoffs Highlights,https://www.youtube.com/watch?v=XTWy-gAI99s,initial,5
5HVaM2cLX54,"SPURS vs KNICKS | EMIRATES NBA CUP CHAMPIONSHIP 🏆 | FULL GAME HIGHLIGHTS | December 16, 2025",https://www.youtube.com/watch?v=5HVaM2cLX54,initial,12
bDHThu-YSp8,🤯 KNICKS COMPLETE 29-POINT COMEBACK IN GAME 4 😱 New York makes FINALS HISTORY ‼️ | NBA on ESPN,https://www.youtube.com/watch?v=bDHThu-YSp8,initial,6
eDLaezk3A4E,"San Antonio Spurs vs New York Knicks Full Game 4 Highlights - June 10, 2026 | NBA Finals",https://www.youtube.com/watch?v=eDLaezk3A4E,initial,6
uIWUaUqlMjQ,The Knicks’ Most EPIC Moments of This Postseason 🤯,https://www.youtube.com/watch?v=uIWUaUqlMjQ,initial,9
7EJIPo-wfwo,7EJIPo-wfwo,local:7EJIPo-wfwo,initial,8
CPZ2_8rym34,CPZ2_8rym34,local:CPZ2_8rym34,initial,8
QH2Mm9WkVOI,QH2Mm9WkVOI,local:QH2Mm9WkVOI,initial,3
cAkC4zFpmqk,cAkC4zFpmqk,local:cAkC4zFpmqk,initial,11
riJlATPZvNI,riJlATPZvNI,local:riJlATPZvNI,initial,7
m5ljeN8CMXc,m5ljeN8CMXc,local:m5ljeN8CMXc,initial,3
92v2Zo4fRIE,NewsCopter 7 over the Garden after Knicks' historic comeback win,https://www.youtube.com/watch?v=92v2Zo4fRIE,manual,0
NAR216YbUxk,"San Antonio Spurs vs New York Knicks Full Game 1 Highlights - June 3, 2026 | NBA Finals",https://www.youtube.com/watch?v=NAR216YbUxk,manual,0
2012-02-14-jermey-lin-game-winner-e5012db7,2012-02-14-Jermey Lin Game Winner,,forty,0
2012-04-08-carmelo-buzzer-013e9913,2012-04-08-Carmelo Buzzer,,forty,0
2026-06-11-og-anunoby-game-winning-tip-i-c739a3b6,2026-06-11-OG Anunoby game winning tip-in,,forty,0
ben-stiller-mitch-said-no-07a38b39,Ben Stiller - Mitch said no,,forty,0
ben-stiller-https-t-co-lrphmeadfp-dea17988,Ben Stiller - https：⧸⧸t.co⧸LRPhmeAdFp,,forty,0
david-lee-buzzer-beating-tip-in-b8293fdb,David Lee buzzer beating tip in,https://www.youtube.com/watch?v=q99sL_g3jvo,forty,0
espn-the-knicks-cut-it-to-four-points-kn-03471929,ESPN - THE KNICKS CUT IT TO FOUR POINTS 👀  Knicks celeb row is LOVING it 🔥,,forty,0
game-winning-sequence-donte-divincenzo-j-24adb422,"GAME-WINNING SEQUENCE - Donte DiVincenzo & Jalen Brunson Come Up Clutch! 🔥｜ April 22, 2024",https://www.youtube.com/watch?v=782QfcAxH1Q,forty,0
jeremy-lin-knicks-vs-lakers-38-points-ca-213f3250,Jeremy Lin Knicks Vs. Lakers (38 Points Career High),https://www.youtube.com/watch?v=KWl2wdNt7Co,forty,0
johnnies-highlights-highlight-of-the-day-f9e70471,Johnnies Highlights - 🚨 Highlight of the Day 🚨  The dunk.  No explanation needed.  John Sta...,,forty,0
knicks-advance-to-the-finals-sidetalk-dc792deb,Knicks Advance to the Finals - Sidetalk,https://www.youtube.com/watch?v=hoax61xIr2c,forty,0
knicks-fan-compilation-sidetalk-3ab99ecc,Knicks Fan Compilation - Sidetalk,https://www.youtube.com/watch?v=by2CN4Sjmmk,forty,0
knicks-fans-going-crazy-after-game-2-win-7f82edbf,Knicks fans going crazy after Game 2 win taking over New York & Spurs arena,https://www.youtube.com/watch?v=1SxhKOeJ6dQ,forty,0
knicks-fans-react-to-game-4-nba-sports-r-969ad15d,Knicks fans react to GAME 4  #nba #sports #reaction,https://www.youtube.com/watch?v=TSjkfqdjuCk,forty,0
knicks-in-4-nba-nbafinals-nbaplayoffs-kn-adf7021c,Knicks in 4 #nba #nbafinals #nbaplayoffs #knicks #newyorkknicks,,forty,0
larry-johnson-4-point-play-vs-pacers-199-ba9ff0d1,Larry Johnson 4 Point Play vs. Pacers (1999 ECF Playoffs Game 3 on NBC),https://www.youtube.com/watch?v=-0CGK1MGI4E,forty,0
nba-count-the-paint-touches-1-8b50ef16,NBA - Count the paint touches! #1,,forty,0
nba-count-the-paint-touches-2-538acc1f,NBA - Count the paint touches! #2,,forty,0
nba-it-s-even-better-in-slow-motion-1-6b5d92f1,NBA - It_s even better in slow motion 😏 #1,,forty,0
nba-it-s-even-better-in-slow-motion-2-34e4adf6,NBA - It_s even better in slow motion 😏 #2,,forty,0
nba-the-record-setting-knicks-comeback-t-54b902cb,NBA - The record-setting Knicks comeback. The cheers from the MSG crowd. Th...,,forty,0
og-anunoby-s-insane-tip-in-game-4-vs-spu-43343f05,"OG Anunoby_s INSANE TIP-IN Game 4 vs Spurs ｜ June 10, 2026",https://www.youtube.com/watch?v=sOQKRjP3ZJk,forty,0
sidetalk-knicks-advance-to-the-finals-5442e08a,Sidetalk - Knicks Advance to the Finals,,forty,0
sidetalk-sports-for-the-first-time-in-27-e1af78be,Sidetalk Sports - FOR THE FIRST TIME IN 27 YEARS THE KNICKS ARE GOING TO THE NBA FINALS 🏆 #1,,forty,0
sidetalk-sports-for-the-first-time-in-27-86b555b7,Sidetalk Sports - FOR THE FIRST TIME IN 27 YEARS THE KNICKS ARE GOING TO THE NBA FINALS 🏆 #2,,forty,0
sidetalk-sports-for-the-first-time-in-27-bc969b4d,Sidetalk Sports - FOR THE FIRST TIME IN 27 YEARS THE KNICKS ARE GOING TO THE NBA FINALS 🏆 #3,,forty,0
sidetalk-sports-for-the-first-time-in-27-9349dc6c,Sidetalk Sports - FOR THE FIRST TIME IN 27 YEARS THE KNICKS ARE GOING TO THE NBA FINALS 🏆 #4,,forty,0
sidetalk-sports-nahhh-6500d684,Sidetalk Sports - NAHHH 😭,,forty,0
tdih-allan-houston-s-game-winner-vs-mia--d56e9756,TDIH： Allan Houston_s game-winner vs. MIA in 1999,https://www.youtube.com/watch?v=wcEvXT-QjTA,forty,0
the-dunk-john-starks-famous-dunk-in-the--82562cb8,The Dunk - John Starks famous dunk in the 1993 NBA Playoffs vs the Bulls ｜ New York Knicks,https://www.youtube.com/watch?v=KhkIMpBaCEs,forty,0
video-by-claudioropain-8fcfb96e,Video by claudioropain,https://www.youtube.com/watch?v=DZJi5ZjtTnU,forty,0
video-by-hoopshigh-lights-a9e5211d,Video by hoopshigh_lights,https://www.youtube.com/watch?v=DYi71IIgog5,forty,0
clip01-f33ea3c8,clip01,,forty,0
clip02-dd3bd3c8,clip02,,forty,0
clip03-3dab26ed,clip03,,forty,0
clip04-5b8446db,clip04,,forty,0
clip05-da473cc5,clip05,,forty,0
clip06-80a74d3c,clip06,,forty,0
clip07-3c5a661a,clip07,,forty,0
clip08-157b24b6,clip08,,forty,0
i-am-so-proud-to-call-this-city-home-new-542969b5,i am so proud to call this city home #newyork #nyc #knicks #nbafinals,,forty,0
https-t-co-3dzr0olfkb-8c3011a5,ً - https：⧸⧸t.co⧸3DZR0Olfkb,,forty,0
https-t-co-bpbq50sby6-b5931b72,ً - https：⧸⧸t.co⧸BPBQ50sBY6,,forty,0
